Date,HomeTeam,AwayTeam,FTR,TotalMatches_Home,TotalWins_Home,TotalDraws_Home,TotalLosses_Home,TotalGoalsScored_Home,TotalGoalsConceded_Home,TotalGoalsScored_HomeTeam,TotalGoalsConceded_HomeTeam,GoalDifference_HomeTeam,TotalPoints_HomeTeam,TotalMatches_HomeTeam,WinRatio_HomeTeam,DrawRatio_HomeTeam,LossRatio_HomeTeam,AverageGoalsScored_HomeTeam,AverageGoalsConceded_HomeTeam,Ranking_HomeTeam,FormScore_HomeTeam,TotalMatches_Away,TotalWins_Away,TotalDraws_Away,TotalLosses_Away,TotalGoalsScored_Away,TotalGoalsConceded_Away,TotalGoalsScored_AwayTeam,TotalGoalsConceded_AwayTeam,GoalDifference_AwayTeam,TotalPoints_AwayTeam,TotalMatches_AwayTeam,WinRatio_AwayTeam,DrawRatio_AwayTeam,LossRatio_AwayTeam,AverageGoalsScored_AwayTeam,AverageGoalsConceded_AwayTeam,Ranking_AwayTeam,FormScore_AwayTeam,FTR_encoded
18/08/2023,Nott'm Forest,Sheffield United,H,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
19/08/2023,Fulham,Brentford,A,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,2
19/08/2023,Liverpool,Bournemouth,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,0
19/08/2023,Wolves,Brighton,A,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,2
19/08/2023,Tottenham,Man United,H,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,0
19/08/2023,Man City,Newcastle,H,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,0
20/08/2023,Aston Villa,Everton,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,0
20/08/2023,West Ham,Chelsea,H,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,0
21/08/2023,Crystal Palace,Arsenal,A,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,2
25/08/2023,Chelsea,Luton,H,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,0
26/08/2023,Bournemouth,Tottenham,A,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,2
26/08/2023,Arsenal,Fulham,D,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,1
26/08/2023,Brentford,Crystal Palace,D,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,1
26/08/2023,Everton,Wolves,A,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,2
26/08/2023,Man United,Nott'm Forest,H,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,0
26/08/2023,Brighton,West Ham,A,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,2
27/08/2023,Burnley,Aston Villa,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,2
27/08/2023,Sheffield United,Man City,A,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,2
27/08/2023,Newcastle,Liverpool,A,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,2
01/09/2023,Luton,West Ham,A,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,2
02/09/2023,Sheffield United,Everton,D,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,1
02/09/2023,Brentford,Bournemouth,D,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,1
02/09/2023,Burnley,Tottenham,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,2
02/09/2023,Chelsea,Nott'm Forest,A,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,2
02/09/2023,Man City,Fulham,H,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,0
02/09/2023,Brighton,Newcastle,H,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,0
03/09/2023,Crystal Palace,Wolves,H,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,0
03/09/2023,Liverpool,Aston Villa,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,0
03/09/2023,Arsenal,Man United,H,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,0
16/09/2023,Wolves,Liverpool,A,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,2
16/09/2023,Aston Villa,Crystal Palace,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,0
16/09/2023,Fulham,Luton,H,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,0
16/09/2023,Man United,Brighton,A,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,2
16/09/2023,Tottenham,Sheffield United,H,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
16/09/2023,West Ham,Man City,A,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,2
16/09/2023,Newcastle,Brentford,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,0
17/09/2023,Bournemouth,Chelsea,D,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,1
17/09/2023,Everton,Arsenal,A,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,2
18/09/2023,Nott'm Forest,Burnley,D,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,1
23/09/2023,Crystal Palace,Fulham,D,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,1
23/09/2023,Luton,Wolves,D,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,1
23/09/2023,Man City,Nott'm Forest,H,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,0
23/09/2023,Brentford,Everton,A,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,2
23/09/2023,Burnley,Man United,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,2
24/09/2023,Arsenal,Tottenham,D,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,1
24/09/2023,Brighton,Bournemouth,H,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,0
24/09/2023,Chelsea,Aston Villa,A,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,2
24/09/2023,Liverpool,West Ham,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,0
24/09/2023,Sheffield United,Newcastle,A,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,2
30/09/2023,Aston Villa,Brighton,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,0
30/09/2023,Bournemouth,Arsenal,A,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,2
30/09/2023,Everton,Luton,A,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,2
30/09/2023,Man United,Crystal Palace,A,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,2
30/09/2023,Newcastle,Burnley,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,0
30/09/2023,West Ham,Sheffield United,H,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
30/09/2023,Wolves,Man City,H,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,0
30/09/2023,Tottenham,Liverpool,H,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,0
01/10/2023,Nott'm Forest,Brentford,D,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,1
02/10/2023,Fulham,Chelsea,A,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,2
03/10/2023,Luton,Burnley,A,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,2
07/10/2023,Luton,Tottenham,A,16,4,3,9,24,27,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,15,6,6,3,31,24,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,2
07/10/2023,Burnley,Chelsea,A,16,2,3,11,16,36,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,15,5,4,6,26,27,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,2
07/10/2023,Everton,Bournemouth,H,15,4,4,7,16,18,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,15,5,3,7,24,31,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,0
07/10/2023,Fulham,Sheffield United,H,16,9,1,6,29,16,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,15,1,3,11,13,35,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,0
07/10/2023,Man United,Brentford,H,15,8,2,5,23,22,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,16,3,2,11,20,28,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,0
07/10/2023,Crystal Palace,Nott'm Forest,D,15,4,4,7,21,24,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,16,2,4,10,17,33,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,1
08/10/2023,Brighton,Liverpool,D,15,7,6,2,28,19,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,15,8,5,2,29,16,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,1
08/10/2023,West Ham,Newcastle,D,16,6,7,3,26,23,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,15,4,2,9,26,32,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,1
08/10/2023,Wolves,Aston Villa,D,15,7,3,5,23,23,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,16,7,4,5,26,27,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,1
08/10/2023,Arsenal,Man City,H,15,12,2,1,38,13,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,15,10,2,3,33,18,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,0
21/10/2023,Liverpool,Everton,H,16,13,3,0,43,14,72,30,42,71,31,67.74193548387096,25.806451612903224,6.451612903225806,2.3225806451612905,0.967741935483871,2,11,16,5,4,7,16,24,32,42,-10,35,31,29.03225806451613,25.806451612903224,45.16129032258064,1.032258064516129,1.3548387096774193,14,5,0
21/10/2023,Bournemouth,Wolves,A,16,6,5,5,21,24,45,55,-10,41,31,35.483870967741936,25.806451612903224,38.70967741935484,1.4516129032258065,1.7741935483870968,12,11,16,5,3,8,21,26,44,49,-5,42,31,38.70967741935484,19.35483870967742,41.935483870967744,1.4193548387096775,1.5806451612903225,11,9,2
21/10/2023,Brentford,Burnley,H,16,4,6,6,25,30,45,58,-13,29,32,21.875,25.0,53.125,1.40625,1.8125,16,5,16,2,4,10,16,31,32,67,-35,19,32,12.5,21.875,65.625,1.0,2.09375,19,13,0
21/10/2023,Man City,Brighton,H,16,11,5,0,38,13,71,31,40,70,31,67.74193548387096,22.58064516129032,9.67741935483871,2.2903225806451615,1.0,3,9,16,4,4,8,23,30,51,49,2,43,31,35.483870967741936,32.25806451612903,32.25806451612903,1.6451612903225807,1.5806451612903225,10,13,0
21/10/2023,Newcastle,Crystal Palace,H,16,10,3,3,39,20,65,52,13,47,31,45.16129032258064,16.129032258064516,38.70967741935484,2.096774193548387,1.6774193548387097,8,5,16,3,5,8,15,30,36,54,-18,30,31,22.58064516129032,29.03225806451613,48.38709677419355,1.1612903225806452,1.7419354838709677,15,9,0
21/10/2023,Nott'm Forest,Luton,D,16,5,4,7,23,23,40,56,-16,29,32,21.875,25.0,53.125,1.25,1.75,17,5,16,2,4,10,21,38,45,65,-20,25,32,18.75,21.875,59.375,1.40625,2.03125,18,7,1
21/10/2023,Chelsea,Arsenal,D,15,7,4,4,29,25,55,52,3,44,30,40.0,26.666666666666668,33.33333333333333,1.8333333333333333,1.7333333333333334,9,5,16,10,3,3,37,11,75,24,51,71,31,70.96774193548387,16.129032258064516,12.903225806451612,2.4193548387096775,0.7741935483870968,1,1,1
21/10/2023,Sheffield United,Man United,A,16,2,4,10,17,47,30,82,-52,16,31,9.67741935483871,22.58064516129032,67.74193548387096,0.967741935483871,2.6451612903225805,20,13,16,7,2,7,22,24,45,46,-1,49,31,48.38709677419355,12.903225806451612,38.70967741935484,1.4516129032258065,1.4838709677419355,6,5,2
22/10/2023,Aston Villa,West Ham,H,16,11,2,3,40,22,66,49,17,60,32,56.25,18.75,25.0,2.0625,1.53125,5,11,16,7,2,7,26,33,52,56,-4,48,32,40.625,28.125,31.25,1.625,1.75,7,3,0
23/10/2023,Tottenham,Fulham,H,16,12,0,4,34,21,65,45,20,60,31,58.06451612903226,19.35483870967742,22.58064516129032,2.096774193548387,1.4516129032258065,4,15,16,2,5,9,18,35,47,51,-4,39,32,34.375,18.75,46.875,1.46875,1.59375,13,9,0
